응급처치,방법,,,
심폐소생술,제세동을 적용하고 난 후 바로 심폐소생술 5주기 (30:2) 시행 후 다시 리듬 확인을 반복한다.,,,
심폐소생술,심폐소생술을 중지하는 경우,,,
심폐소생술,119 구급대가 도착한 경우,,,
심폐소생술,환자가 회복되어 움직이는 경우 : 옆으로 눕혀주어서 기도 가 막히는 것을 예방,,,
심폐소생술,구조자가 지친경우에는 주변의 다른사람과 교대로 시행,,,
심폐소생술,기도 여는 방법,,,
심폐소생술,한 손으로 환자의 머리를 젖히고 다른 손으로 턱 끝을 들어 올려서 시행,,,
심폐소생술,턱 끝을 들어 올릴 때는 턱의 뼈 부분을 들어 올려야 함.,,,
심폐소생술,뼈부분이 아닌 곳을 누르면 오히려 기도가 막히게 되니 주의.,,,
하임리히법,환자가 목을 손으로 감싸고 숨을 못 쉬고 힘들어 할 때,,,
하임리히법,목에 이물질이 걸렸는지를 물어본다.,,,
하임리히법,말을 할 수 없는지를 물어본다.(기도가 이물질로 완전하게 막힌 경우 말을 할 수 가 없음.),,,
하임리히법,"말을 할 수 있다면, 기침을 유도하여 환자 스스로 이물질을 뱉어내도록 한다.",,,
하임리히법,말을 할 수 없는 경우 복부 밀침 (하임리히법 )시행,,,
하임리히법,시술자가 환자의 뒤에 서서 주먹을 쥐고 주먹의 엄지 쪽을 배꼽과 갈비뼈 사이의 중앙에 놓는다.,,,
하임리히법,다른 손으로 주먹 쥔 손을 감싼 후 빠르게 후 상방으로 환자의 배를 밀어 올린다.,,,
하임리히법,"(이때 순간적으로 흉부에 압력이 증가, 이물질을 기도 바깥으로 뱉어낼 수 있다)",,,
하임리히법,환자가 이물질을 뱉어내거나 의식을 잃고 쓰러질 까지 반복한다.,,,
하임리히법,의식을 잃고 쓰러지면 바로 119에 신고 후 심폐소생술을 시행한다.,,,
소아발열,옷을 다 벗긴다.,,,
소아발열,미지근한 물에 수건을 적신 후 머리부터 발끝까지 구석구석 30분이상 닦아준다.,,,
소아발열,해열제는 용법에 맞게 먹인다.,,,
소아발열,"단, 만 14세 이하에서 아스피린은 의사의 처방 하에 복용한다.",,,
소아발열,탈수 예방을 위해 수분을 섭취한다.,,,
소아발열,열이 안 떨어지면 소아청소년과 진료를 보거나 119에 도움을 요청한다.,,,
소아발열,병원을 방문해야 하는 경우,,,
소아발열,3개월 이하의 아이가 열이 날 때,,,
소아발열,체온이 39도 이상일 때,,,
소아발열,해열제를 먹어도 열이 떨어지지 않고 지속될 때,,,
소아발열,열과 함께 다음과 같은 증상이 동반될 때,,,
소아발열,"의식혼미, 아이가 어디 아픈 듯 몹시 보챌 때",,,
발작,"경련이나 발작을 하는 경우, 구토물 등에 의한 기도폐쇄를 막기 위해 머리를 옆으로 돌려준다.",,,
발작,"옷은 느슨하게 하고, 조이는 것은 풀어준다.",,,
발작,부딪치면 다칠 수 있는 물건들을 치운다.,,,
발작,입속에 아무것도 넣지 않는다.,,,
발작,119에 신고하고 아이의 피부색이 새파래지거나(청색증) 숨을 쉬지 않는지 잘 관찰한다.,,,
코피,코피가 목으로 넘어가지 않도록 앉은 자세에서 고개를 앞으로 살짝 숙인다.,,,
코피,콧등 뼈가 끝나는 바로 아래 콧방울 부위를 엄지와 집게손가락으로 10분 이상 압박해 준다.,,,
코피,찬 물수건이나 얼음주머니를 콧등에 얹어 냉찜질 해준다.,,,
코피,병원을 방문해야 하는 경우,,,
코피,20분 이상 지혈이 되지 않는 경우,,,
코피,머리손상이나 사고로 인한 경우(외상이 원인인 경우),,,
코피,코뼈가 부러진 것으로 의심되는 경우,,,
치아손상,출혈이 지속되면 거즈나 깨끗한 수건으로 압박하여 지혈한다.,,,
치아손상,치아 전체가 빠졌을 경우 수돗물로 이물질을 씻어 내고 빠진 자리에 다시 집어넣고 바로 치과나 치과 응급실로 간다.,,,
치아손상,"치아가 빠졌을 때 의식이 없거나 노인, 소아의 경우 삼켜버릴 우려가 있으므로 식염수나 우유에 담아서 이동한다.",,,
이물질을 삼킨 경우,억지로 토하게 하거나 놀라게 하지 않는다.,,,
이물질을 삼킨 경우,입으로 물이나 음식물 등을 삼키지 않도록 한다.,,,
이물질을 삼킨 경우,삼킨 물건을 알아내야 하므로 주변 상황을 정확히 확인한다.,,,
이물질을 삼킨 경우,"병원으로 내원하여 x-ray 촬영으로 이물질의 위치나 종류, 모양 등을 알아내고 전문적인 치료를 받는다.",,,
이물질을 삼킨 경우,"기도 등에 걸려 숨이 막힌 경우, 119에 도움을 요청하여 기도폐쇄에 대한 응급처치를 실시한다.",,,
이물질을 삼킨 경우,병원을 방문해야 하는 경우,,,
이물질을 삼킨 경우,수은건전지를 삼킨 경우,,,
이물질을 삼킨 경우,갑자기 심한 복통을 호소하는 경우,,,
이물질을 삼킨 경우,"기도나 식도 폐쇄 소견을 보이는 경우(청색증, 침 흘리기 등)",,,
이물질을 삼킨 경우,"날카롭거나 기다란 물건을 삼킨 경우(안전핀, 바늘 등)",,,
이물질을 삼킨 경우,삼킨 물체를 확인할 수 없는 경우,,,
골절,환자를 안정시킨 뒤 골절 부위를 건드리지 말고 도움을 요청한다.,,,
골절,두꺼운 책이나 헝겊 등으로 고정시켜 준다.,,,
골절,"목이나 허리가 다친 것으로 의심되는 환자는 눕히고 움직이지 않으며, 옷을 덮어 몸을 따뜻하게 해주고 119로 도움을 요청한다.",,,
골절,부러진 부위를 일부러 맞추려고 하지 않는다.,,,
소아 머리손상,놀란 아이를 우선적으로 진정시킨다.,,,
소아 머리손상,"의식이나 환아의 상태를 간단히 체크한다. (눈은 잘 맞추는지, 이름을 잘 말하는지 등)",,,
소아 머리손상,작은 상처는 흐르는 물로 씻고 소독한다.,,,
소아 머리손상,"출혈이 심한 상처는 흐르는 물로 닦지 말고, 깨끗한 거즈로 출혈부위 압박 · 지혈 뒤 병원으로 내원한다.",,,
소아 머리손상,병원을 방문해야 하는 경우,,,
소아 머리손상,의식을 잃은 경우 혹은 잠에서 깨기 힘든 경우,,,
소아 머리손상,경련이나 발작을 하는 경우,,,
소아 머리손상,"신체 일부를 움직일 수 없거나, 움직이는데 불편한 경우)",,,
소아 머리손상,귀나 코에서 맑은 액체나 피가 나오는 경우,,,
소아 머리손상,계속해서 두통과 구토가 있는 경우,,,
소아 머리손상,비정상적인 행동이나 말을 하는 경우,,,
소아 머리손상,머리에 심한 상처를 입은 경우,,,
소아 머리손상,의식이 혼미한 경우 찬물이나 기응환 등을 절대 먹이지 않는다.,,,
소아 머리손상,꼭 이동해야 하는 상황이 아니라면 119에 신고하고 아이를 그대로 눕혀둔다.,,,
눈 손상,이물질(화학물질)이 들어간 경우,,,
눈 손상,흐르는 물로 눈을 씻어준다.,,,
눈 손상,절대 눈을 비비거나 만지지 않는다.,,,
눈 손상,눈을 찔리거나 찢어진 경우,,,
눈 손상,물로 눈을 씻지 않는다.,,,
눈 손상,이물질이 박혀있는 경우 빼지 말고 고정 후 병원으로 내원한다.,,,
눈 손상,이동 할 때에는 양쪽 눈을 모두 감는다.,,,
개나 고양이에게 물린 경우,환자를 안정시키고 활동을 최소화한다.,,,
개나 고양이에게 물린 경우,물린 부위를 깨끗이 씻고 소독한다.,,,
개나 고양이에게 물린 경우,현장에서 동물을 잡아두고 관찰한다.,,,
개나 고양이에게 물린 경우,동물의 치아에는 세균이 많아 감염이나 염증에 대한 세심한 관찰이 필요,,,
개나 고양이에게 물린 경우,이에 따라 항생제치료나 광견병 예방주사가 필요할 수 있음,,,
벌에 쏘였을 때,얼음 등으로 냉찜질을 하여 통증을 감소시키고 부기를 가라 앉혀준다.,,,
벌에 쏘였을 때,벌침을 손으로 뽑으려고 하면 독침이 더 깊숙이 들어가거나 터질 수 있다.,,,
벌에 쏘였을 때,"벌에 쏘이고 급속하게 의식저하, 호흡곤란이 나타날 경우 신속히 병원으로 이송한다.",,,
뱀에 물린 경우,흥분해서 뛰면 독이 더 빨리 퍼지기 때문에 환자를 안정시키고 활동을 최소화 한다.,,,
뱀에 물린 경우,비누와 물이 있다면 물린 부위를 깨끗이 씻어낸다.,,,
뱀에 물린 경우,물린 부위를 심장보다 아래에 위치시키고 항독소가 있는 병원으로 신속히 이송한다.,,,
뱀에 물린 경우,"팔을 물렸을 때는 부어오르면서 혈액순환을 방해할 수 있으므로 반지, 시계를 제거한다.",,,
뱀에 물린 경우,현장에서 상처를 절개하거나 입으로 빨아내는 행위는 하지 않는다.,,,
뱀에 물린 경우,지혈대를 세게 묶으면 동맥혈 차단으로 조직괴사 될 수 있으므로 주의한다.,,,
화상,환자를 안전한 곳으로 옮긴다.,,,
화상,흐르는 시원한 물로 열기를 식혀준다.,,,
화상,수압이 세면 물집이 터질 수 있으므로 주의한다.,,,
화상,화상의 정도가 심하면 손상부위를 그대로 드러내거나 깨끗한 천으로 가볍게 덮은 뒤 병원으로 내원 한다.,,,
화상,수포(물집)가 생겼을 경우 터뜨리지 않아야 한다.,,,
화상,화상부위에 밀착된 의복을 억지로 벗기지 말고 화기를 식혀준 뒤 가위로 잘라 준다.,,,
화상,후끈거리는 열감을 빼주지 않으면 피부 속으로 깊이 침투하여 손상이 심해지므로 즉시 화기를 식혀주어야 한다.,,,
화상,"어린이나 노약자의 경우 차가운 물로 장시간 식혀주거나 몸 전체를 담가놓으면 떨림 증상이 올 수 있으므로,이 경우 잠시 중지하고 화상부위를 제외한 곳을 보 온해준다.",,,
화상,"3도 화상의 경우 신속히 응급실로 내원, 화상의 정도를 구분하기 어려운 경우에 는 즉시 119에 도움을 요청한다.",,,
